theta_deg	I
0.95825	1.2437274E-002
0.95975	9.9040708E-003
0.96125	8.0813291E-003
0.96275	6.8730074E-003
0.96425	6.1881281E-003
0.96575	5.9581478E-003
0.96725	6.0848356E-003
0.96875	6.4863772E-003
0.97025	7.0338976E-003
0.97175	7.6551600E-003
0.97325	8.3078882E-003
0.97475	8.8876961E-003
0.97625	9.3670851E-003
0.97775	9.6968003E-003
0.97925	9.8932609E-003
0.98075	9.9441549E-003
0.98225	9.8040607E-003
0.98375	9.5324898E-003
0.98525	9.0990709E-003
0.98675	8.4932679E-003
0.98825	7.8053791E-003
0.98975	7.0568831E-003
0.99125	6.2657013E-003
0.99275	5.4490720E-003
0.99425	4.6722558E-003
0.99575	3.9788936E-003
0.99725	3.3483289E-003
0.99875	2.7712572E-003
1.00025	2.3084234E-003
1.00175	1.9535336E-003
1.00325	1.7060415E-003
1.00475	1.5714188E-003
1.00625	1.5145052E-003
1.00775	1.5602004E-003
1.00925	1.6588415E-003
1.01075	1.8130281E-003
1.01225	1.9964927E-003
1.01375	2.2096452E-003
1.01525	2.4336060E-003
1.01675	2.6348559E-003
1.01825	2.8315911E-003
1.01975	2.9850937E-003
1.02125	3.0812724E-003
1.02275	3.1057615E-003
1.02425	3.0667705E-003
1.02575	2.9831787E-003
1.02725	2.8415781E-003
1.02875	2.6649544E-003
1.03025	2.4721869E-003
1.03175	2.2583504E-003
1.03325	2.0439664E-003
1.03475	1.8071454E-003
1.03625	1.5740184E-003
1.03775	1.3480053E-003
1.03925	1.1364945E-003
1.04075	9.5904974E-004
1.04225	8.0445252E-004
1.04375	6.9171982E-004
1.04525	6.2331394E-004
1.04675	5.9061596E-004
1.04825	5.8911106E-004
1.04975	6.2126177E-004
1.05125	6.9076213E-004
1.05275	7.7845837E-004
1.05425	8.8065671E-004
1.05575	9.8285510E-004
1.05725	1.0983241E-003
1.05875	1.2046268E-003
1.06025	1.2869873E-003
1.06175	1.3768725E-003
1.06325	1.4224310E-003
1.06475	1.4574546E-003
1.06625	1.4618327E-003
1.06775	1.4492460E-003
1.06925	1.4138118E-003
1.07075	1.3429434E-003
1.07225	1.2685178E-003
1.07375	1.1690557E-003
1.07525	1.0538603E-003
1.07675	9.3360274E-004
1.07825	8.1416633E-004
1.07975	6.9349835E-004
1.08125	5.9198408E-004
1.08275	5.0374056E-004
1.08425	4.3848142E-004
1.08575	3.8266220E-004
1.08725	3.4243960E-004
1.08875	3.2150740E-004
1.09025	3.2123379E-004
1.09175	3.4243960E-004
1.09325	3.7390631E-004
1.09475	4.2206398E-004
1.09625	4.8075619E-004
1.09775	5.4368959E-004
1.09925	6.1318994E-004
1.10075	6.7229249E-004
1.10225	7.2346005E-004
1.10375	7.6682941E-004
1.10525	8.0116914E-004
1.10675	8.1690244E-004
1.10825	8.1580802E-004
1.10975	8.0677838E-004
1.11125	7.9213950E-004
1.11275	7.5930473E-004
1.11425	7.1552506E-004
1.11575	6.6832500E-004
1.11725	6.1442121E-004
1.11875	5.5354001E-004
1.12025	4.8923847E-004
1.12175	4.3054632E-004
1.12325	3.7062282E-004
1.12475	3.2096016E-004
1.12625	2.7293930E-004
1.12775	2.3791549E-004
1.12925	2.1274213E-004
1.13075	1.9988185E-004
1.13225	2.0001865E-004
1.13375	2.1233172E-004
1.13525	2.2915953E-004
1.13675	2.6117350E-004
1.13825	2.9496595E-004
1.13975	3.3614624E-004
1.14125	3.7773701E-004
1.14275	4.1809643E-004
1.14425	4.5654053E-004
1.14575	4.7966171E-004
1.14725	5.0387735E-004
1.14875	5.1400141E-004
1.15025	5.1468547E-004
1.15175	5.0538231E-004
1.15325	4.9375329E-004
1.15475	4.8499741E-004
1.15625	4.5804540E-004
1.15775	4.2630514E-004
1.15925	3.9333358E-004
1.16075	3.5475264E-004
1.16225	3.1425641E-004
1.16375	2.6760361E-004
1.16525	2.3189577E-004
1.16675	1.9960823E-004
1.16825	1.7210907E-004
1.16975	1.4857747E-004
1.17125	1.3174964E-004
1.17275	1.2299369E-004
1.17425	1.2490906E-004
1.17575	1.2983427E-004
1.17725	1.4228413E-004
1.17875	1.6554212E-004
1.18025	1.9139952E-004
1.18175	2.1588882E-004
1.18325	2.3955724E-004
1.18475	2.6787727E-004
1.18625	2.8921987E-004
1.18775	3.0481638E-004
1.18925	3.2342281E-004
1.19075	3.3970337E-004
1.19225	3.4449180E-004
1.19375	3.4544946E-004
1.19525	3.4257642E-004
1.19675	3.4134509E-004
1.19825	3.2301235E-004
1.19975	3.0290105E-004
1.20125	2.8388420E-004
1.20275	2.5706913E-004
1.20425	2.2806505E-004
1.20575	1.9509344E-004
1.20725	1.6909921E-004
1.20875	1.4392586E-004
1.21025	1.1957340E-004
1.21175	1.0260875E-004
1.21325	9.1800619E-005
1.21475	8.4549603E-005
1.21625	8.1539758E-005
1.21775	8.4275991E-005
1.21925	9.1253372E-005
1.22075	9.9872508E-005
1.22225	1.1382730E-004
1.22375	1.3092876E-004
1.22525	1.5295543E-004
1.22675	1.7169863E-004
1.22825	1.9509344E-004
1.22975	2.1944591E-004
1.23125	2.3476880E-004
1.23275	2.5036535E-004
1.23425	2.5187028E-004
1.23575	2.5474333E-004
1.23725	2.5351203E-004
1.23875	2.4325114E-004
1.24025	2.3490563E-004
1.24175	2.1862505E-004
1.24325	2.0521750E-004
1.24475	1.8414849E-004
1.24625	1.6089051E-004
1.24775	1.4269458E-004
1.24925	1.2340413E-004
1.25075	1.0507137E-004
