# fit,CoC4-expert-full-fit,stored_as,author-fit-P2-04-full-fit.xrcx,min_limit,1.600E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
1.033,2.254100E-03,2.383500E-03
1.035,2.136400E-03,2.266400E-03
1.036,1.986800E-03,2.112000E-03
1.038,1.811600E-03,1.928900E-03
1.039,1.655800E-03,1.727200E-03
1.041,1.472800E-03,1.517700E-03
1.042,1.318000E-03,1.311300E-03
1.044,1.172900E-03,1.118400E-03
1.045,1.054100E-03,9.482400E-04
1.047,9.794000E-04,8.084000E-04
1.048,9.202100E-04,7.044600E-04
1.050,9.258900E-04,6.397800E-04
1.051,9.291600E-04,6.153800E-04
1.053,9.678200E-04,6.299800E-04
1.054,1.042100E-03,6.801400E-04
1.056,1.121400E-03,7.605800E-04
1.057,1.215100E-03,8.644600E-04
1.059,1.296800E-03,9.838500E-04
1.060,1.383300E-03,1.110200E-03
1.062,1.448300E-03,1.234800E-03
1.063,1.493800E-03,1.349400E-03
1.065,1.509900E-03,1.446600E-03
1.066,1.522800E-03,1.520400E-03
1.068,1.512300E-03,1.566200E-03
1.069,1.487400E-03,1.581400E-03
1.071,1.458000E-03,1.565100E-03
1.072,1.399200E-03,1.518200E-03
1.074,1.325400E-03,1.443400E-03
1.075,1.238400E-03,1.345100E-03
1.077,1.138200E-03,1.228600E-03
1.078,1.039700E-03,1.100400E-03
1.080,9.317800E-04,9.673000E-04
1.081,8.431000E-04,8.364000E-04
1.083,7.688400E-04,7.143600E-04
1.084,7.037500E-04,6.071700E-04
1.086,6.583200E-04,5.198400E-04
1.087,6.425900E-04,4.561100E-04
1.089,6.443400E-04,4.182500E-04
1.090,6.631300E-04,4.070000E-04
1.092,6.895500E-04,4.215500E-04
1.093,7.349900E-04,4.596400E-04
1.095,7.985500E-04,5.177200E-04
1.096,8.509700E-04,5.911800E-04
1.098,9.081900E-04,6.746800E-04
1.099,9.601800E-04,7.624800E-04
1.101,1.011500E-03,8.487300E-04
1.102,1.050600E-03,9.279000E-04
1.104,1.065900E-03,9.950100E-04
1.105,1.060000E-03,1.045900E-03
1.107,1.039500E-03,1.077500E-03
1.108,1.012600E-03,1.088000E-03
1.110,9.735000E-04,1.076600E-03
1.111,9.158400E-04,1.044000E-03
1.113,8.472500E-04,9.920300E-04
1.114,7.850000E-04,9.237600E-04
1.116,7.236300E-04,8.430100E-04
1.117,6.502400E-04,7.542700E-04
1.119,5.853700E-04,6.624200E-04
1.120,5.231200E-04,5.723900E-04
1.122,4.829300E-04,4.888600E-04
1.123,4.545300E-04,4.160500E-04
1.125,4.324700E-04,3.574200E-04
1.126,4.316000E-04,3.155800E-04
1.128,4.449200E-04,2.920800E-04
1.129,4.781200E-04,2.874200E-04
1.131,5.111000E-04,3.010100E-04
1.132,5.576300E-04,3.312000E-04
1.134,6.054600E-04,3.754800E-04
1.135,6.535200E-04,4.305300E-04
1.137,6.939200E-04,4.925400E-04
1.138,7.338900E-04,5.573500E-04
1.140,7.614200E-04,6.207600E-04
1.141,7.751800E-04,6.787600E-04
1.143,7.878400E-04,7.277400E-04
1.144,7.854400E-04,7.647400E-04
1.146,7.660000E-04,7.875300E-04
1.147,7.290900E-04,7.947800E-04
1.149,7.072500E-04,7.860900E-04
1.150,6.602900E-04,7.619800E-04
1.152,6.135400E-04,7.238300E-04
1.153,5.556600E-04,6.738000E-04
1.155,5.106700E-04,6.146900E-04
1.156,4.672000E-04,5.497700E-04
1.158,4.132500E-04,4.825900E-04
1.159,3.809300E-04,4.167800E-04
1.161,3.433600E-04,3.558500E-04
1.162,3.263200E-04,3.029200E-04
1.164,3.175800E-04,2.606200E-04
1.165,3.160600E-04,2.308700E-04
1.167,3.274100E-04,2.148300E-04
1.168,3.590800E-04,2.128500E-04
1.170,3.944700E-04,2.244800E-04
1.171,4.344400E-04,2.484900E-04
1.173,4.770300E-04,2.830000E-04
1.174,5.209300E-04,3.255700E-04
1.176,5.543500E-04,3.733500E-04
1.177,5.777200E-04,4.232600E-04
1.179,6.100500E-04,4.721300E-04
1.180,6.166000E-04,5.169300E-04
1.182,6.179100E-04,5.549100E-04
1.183,6.131100E-04,5.837700E-04
1.185,6.056800E-04,6.017700E-04
1.186,5.886400E-04,6.078400E-04
1.188,5.368800E-04,6.016500E-04
1.189,5.052100E-04,5.835600E-04
1.191,4.634900E-04,5.546200E-04
1.192,4.163100E-04,5.164900E-04
1.194,3.748100E-04,4.713300E-04
1.195,3.289400E-04,4.216700E-04
1.197,3.073200E-04,3.702600E-04
1.198,2.819800E-04,3.199100E-04
1.200,2.612300E-04,2.733200E-04
1.201,2.485600E-04,2.329300E-04
1.203,2.413600E-04,2.007600E-04
1.204,2.481300E-04,1.783400E-04
1.206,2.632000E-04,1.666000E-04
1.207,2.824200E-04,1.658700E-04
1.209,3.184600E-04,1.758100E-04
1.210,3.464200E-04,1.954900E-04
1.212,3.868200E-04,2.234500E-04
1.213,4.187100E-04,2.577600E-04
1.215,4.506000E-04,2.961500E-04
1.216,4.800900E-04,3.361700E-04
1.218,4.958200E-04,3.753300E-04
1.219,5.233400E-04,4.112100E-04
1.221,5.141600E-04,4.416500E-04
1.222,5.128500E-04,4.648300E-04
1.224,4.901400E-04,4.793700E-04
1.225,4.669800E-04,4.844200E-04
1.227,4.353100E-04,4.796900E-04
1.228,3.966500E-04,4.654400E-04
1.230,3.704400E-04,4.424900E-04
1.231,3.258800E-04,4.121400E-04
1.233,2.870100E-04,3.761200E-04
1.234,2.468200E-04,3.364600E-04
1.236,2.192900E-04,2.953500E-04
1.237,1.941800E-04,2.550600E-04
1.239,1.725500E-04,2.177600E-04
1.240,1.699300E-04,1.854100E-04
1.242,1.736400E-04,1.596700E-04
1.243,1.867500E-04,1.417800E-04
1.245,2.029100E-04,1.325300E-04
1.246,2.227900E-04,1.322000E-04
1.248,2.551200E-04,1.405400E-04
1.249,2.826400E-04,1.568500E-04
1.251,3.125600E-04,1.799400E-04
1.252,3.488200E-04,2.082900E-04
1.254,3.719700E-04,2.400800E-04
1.255,3.898800E-04,2.733200E-04
1.257,4.018900E-04,3.059700E-04
1.258,4.158700E-04,3.360700E-04
1.260,4.200200E-04,3.618200E-04
1.261,4.080100E-04,3.816900E-04
1.263,4.032100E-04,3.945300E-04
1.264,3.896600E-04,3.995800E-04
1.266,3.625800E-04,3.965300E-04
1.267,3.344000E-04,3.855700E-04
1.269,3.073200E-04,3.673200E-04
1.270,2.778300E-04,3.428000E-04
1.272,2.378600E-04,3.134100E-04
1.273,2.096800E-04,2.808000E-04
