# fit,CoC5-expert,stored_as,author-fit-P2-05-Manual-2026-09-18.xrcx,min_limit,1.000E-06
two_theta_deg,measured_reflectivity,fitted_reflectivity
1.385,3.194700E-03,3.214000E-03
1.388,2.919400E-03,2.876800E-03
1.391,2.618200E-03,2.526300E-03
1.395,2.293700E-03,2.180400E-03
1.398,1.971800E-03,1.856900E-03
1.401,1.673500E-03,1.572500E-03
1.403,1.379900E-03,1.341700E-03
1.406,1.133100E-03,1.176600E-03
1.410,9.496900E-04,1.086200E-03
1.413,8.310300E-04,1.075500E-03
1.416,7.823300E-04,1.145800E-03
1.418,8.157200E-04,1.294100E-03
1.421,9.303800E-04,1.513200E-03
1.424,1.113200E-03,1.792200E-03
1.428,1.334800E-03,2.116800E-03
1.431,1.645400E-03,2.470500E-03
1.434,1.968100E-03,2.834900E-03
1.436,2.318100E-03,3.191500E-03
1.439,2.652900E-03,3.521800E-03
1.442,2.975100E-03,3.808900E-03
1.446,3.291400E-03,4.038000E-03
1.449,3.526000E-03,4.197000E-03
1.452,3.721000E-03,4.277500E-03
1.454,3.818400E-03,4.274900E-03
1.457,3.862500E-03,4.188800E-03
1.461,3.805500E-03,4.023100E-03
1.464,3.675100E-03,3.785400E-03
1.467,3.466800E-03,3.487000E-03
1.469,3.202600E-03,3.142300E-03
1.472,2.899700E-03,2.768400E-03
1.475,2.550200E-03,2.384300E-03
1.479,2.213400E-03,2.010000E-03
1.482,1.858000E-03,1.665500E-03
1.485,1.538400E-03,1.369800E-03
1.487,1.243900E-03,1.139200E-03
1.490,1.012500E-03,9.871800E-04
1.493,8.651100E-04,9.227500E-04
1.497,7.804000E-04,9.506700E-04
1.500,7.850900E-04,1.071100E-03
1.503,8.791900E-04,1.279800E-03
1.505,1.066300E-03,1.568200E-03
1.508,1.332400E-03,1.924000E-03
1.512,1.670200E-03,2.331700E-03
1.515,2.075400E-03,2.772600E-03
1.518,2.518200E-03,3.225500E-03
1.520,2.962200E-03,3.667800E-03
1.523,3.390200E-03,4.077000E-03
1.526,3.818900E-03,4.432500E-03
1.530,4.206500E-03,4.716800E-03
1.533,4.523400E-03,4.915900E-03
1.536,4.747100E-03,5.019600E-03
1.538,4.903100E-03,5.021600E-03
1.541,4.966200E-03,4.920400E-03
1.544,4.894300E-03,4.719500E-03
1.548,4.724600E-03,4.428000E-03
1.551,4.465200E-03,4.060000E-03
1.554,4.137400E-03,3.633800E-03
1.556,3.730500E-03,3.171000E-03
1.559,3.285900E-03,2.695900E-03
1.563,2.829300E-03,2.233400E-03
1.566,2.363700E-03,1.808600E-03
1.569,1.928200E-03,1.445100E-03
1.571,1.545300E-03,1.164200E-03
1.574,1.243900E-03,9.835000E-04
1.577,1.034700E-03,9.161800E-04
1.581,9.381000E-04,9.703700E-04
1.584,9.680400E-04,1.148700E-03
1.587,1.109700E-03,1.448300E-03
1.589,1.403600E-03,1.860900E-03
1.592,1.806300E-03,2.372900E-03
1.595,2.339300E-03,2.965900E-03
1.599,2.943500E-03,3.615900E-03
1.602,3.624100E-03,4.294600E-03
1.605,4.366400E-03,4.970600E-03
1.607,5.107300E-03,5.611800E-03
1.610,5.834600E-03,6.187700E-03
1.613,6.499800E-03,6.671500E-03
1.617,7.092000E-03,7.040500E-03
1.620,7.553500E-03,7.276500E-03
1.622,7.910300E-03,7.366200E-03
1.625,8.120500E-03,7.302100E-03
1.628,8.183400E-03,7.084000E-03
1.632,8.058700E-03,6.719800E-03
1.635,7.808600E-03,6.225400E-03
1.638,7.419700E-03,5.624200E-03
1.640,6.872300E-03,4.946400E-03
1.643,6.234900E-03,4.226800E-03
1.646,5.523100E-03,3.503600E-03
1.650,4.773200E-03,2.816400E-03
1.653,4.023700E-03,2.205900E-03
1.656,3.336700E-03,1.711800E-03
1.658,2.737900E-03,1.372100E-03
1.661,2.252500E-03,1.220000E-03
1.664,1.943100E-03,1.281500E-03
1.668,1.869700E-03,1.573300E-03
1.671,2.012800E-03,2.101500E-03
1.673,2.388400E-03,2.861600E-03
1.676,2.991600E-03,3.838700E-03
1.679,3.813000E-03,5.008400E-03
1.683,4.854800E-03,6.336600E-03
1.686,6.046400E-03,7.780300E-03
1.689,7.384200E-03,9.287700E-03
1.691,8.797400E-03,1.080100E-02
1.694,1.026000E-02,1.225800E-02
1.697,1.173300E-02,1.359600E-02
1.701,1.308800E-02,1.475600E-02
1.704,1.425900E-02,1.568200E-02
1.707,1.525400E-02,1.632800E-02
1.709,1.597400E-02,1.665500E-02
1.712,1.638300E-02,1.664000E-02
1.715,1.646000E-02,1.627100E-02
1.719,1.617500E-02,1.555400E-02
1.722,1.561000E-02,1.450900E-02
1.724,1.473300E-02,1.317800E-02
1.727,1.361900E-02,1.161800E-02
1.730,1.229600E-02,9.906700E-03
1.734,1.084300E-02,8.140800E-03
1.737,9.414300E-03,6.433400E-03
1.740,8.097400E-03,4.911800E-03
1.742,6.960100E-03,3.714500E-03
1.745,6.209100E-03,2.986700E-03
1.748,6.003400E-03,2.876900E-03
1.752,6.500100E-03,3.530300E-03
1.755,7.841900E-03,5.083100E-03
1.758,1.016000E-02,7.655800E-03
1.760,1.358900E-02,1.134800E-02
1.763,1.820400E-02,1.623200E-02
1.766,2.412600E-02,2.234600E-02
1.770,3.130900E-02,2.968500E-02
1.773,3.971700E-02,3.819800E-02
1.776,4.920900E-02,4.779500E-02
1.778,5.972800E-02,5.835900E-02
1.781,7.112900E-02,6.975300E-02
1.785,8.312200E-02,8.181100E-02
1.788,9.561600E-02,9.433500E-02
1.791,1.084700E-01,1.070900E-01
1.793,1.214000E-01,1.198300E-01
1.796,1.340800E-01,1.322900E-01
1.799,1.465700E-01,1.442500E-01
1.803,1.585800E-01,1.555400E-01
1.806,1.696600E-01,1.660200E-01
1.809,1.799000E-01,1.755800E-01
1.811,1.892200E-01,1.841200E-01
1.814,1.975200E-01,1.915700E-01
1.817,2.045200E-01,1.978300E-01
1.821,2.101400E-01,2.028600E-01
1.824,2.147900E-01,2.066100E-01
1.827,2.179300E-01,2.090700E-01
1.829,2.199800E-01,2.102600E-01
1.832,2.208000E-01,2.101900E-01
1.836,2.202100E-01,2.089000E-01
1.839,2.185500E-01,2.064200E-01
1.842,2.156800E-01,2.028100E-01
1.844,2.118500E-01,1.981100E-01
1.847,2.067100E-01,1.924200E-01
1.850,2.006100E-01,1.858300E-01
1.854,1.937000E-01,1.784300E-01
1.857,1.860800E-01,1.703200E-01
1.860,1.776100E-01,1.615900E-01
1.862,1.684200E-01,1.523100E-01
1.865,1.586500E-01,1.425600E-01
1.868,1.482900E-01,1.324500E-01
1.872,1.376100E-01,1.220700E-01
1.875,1.266000E-01,1.115600E-01
1.878,1.154000E-01,1.010600E-01
1.880,1.043600E-01,9.068100E-02
1.883,9.338700E-02,8.054000E-02
1.887,8.290700E-02,7.074200E-02
1.890,7.275400E-02,6.139400E-02
1.893,6.306700E-02,5.259700E-02
1.895,5.406700E-02,4.443900E-02
1.898,4.562900E-02,3.699300E-02
1.901,3.805000E-02,3.031500E-02
1.905,3.115300E-02,2.444400E-02
1.908,2.519100E-02,1.940100E-02
1.911,2.009800E-02,1.518500E-02
1.913,1.588800E-02,1.177600E-02
1.916,1.254300E-02,9.129600E-03
1.919,9.988400E-03,7.188200E-03
1.923,8.150100E-03,5.878600E-03
1.926,6.931500E-03,5.118000E-03
1.929,6.240800E-03,4.817000E-03
1.931,6.008900E-03,4.883200E-03
1.934,6.136600E-03,5.224100E-03
1.938,6.541600E-03,5.751200E-03
1.941,7.093800E-03,6.382800E-03
1.944,7.720300E-03,7.046700E-03
1.946,8.378600E-03,7.681200E-03
1.949,8.963400E-03,8.236400E-03
1.952,9.446800E-03,8.673400E-03
1.956,9.779400E-03,8.964500E-03
1.959,9.977500E-03,9.092900E-03
1.962,1.002900E-02,9.052300E-03
1.964,9.887500E-03,8.845800E-03
1.967,9.613700E-03,8.485100E-03
1.970,9.176500E-03,7.988900E-03
1.974,8.565600E-03,7.381500E-03
1.977,7.871800E-03,6.690900E-03
1.980,7.117000E-03,5.946800E-03
1.982,6.319100E-03,5.179000E-03
1.985,5.495500E-03,4.416200E-03
1.988,4.712000E-03,3.685000E-03
1.992,4.012800E-03,3.009600E-03
1.995,3.376800E-03,2.410300E-03
1.997,2.794900E-03,1.902800E-03
2.000,2.328100E-03,1.497800E-03
2.003,1.970200E-03,1.200500E-03
2.007,1.720600E-03,1.011200E-03
2.010,1.584800E-03,9.254400E-04
2.013,1.527400E-03,9.348900E-04
2.016,1.573500E-03,1.027800E-03
2.019,1.673000E-03,1.189800E-03
2.022,1.828500E-03,1.404500E-03
2.024,2.013500E-03,1.654600E-03
2.027,2.228500E-03,1.921800E-03
2.030,2.454300E-03,2.188500E-03
2.033,2.657300E-03,2.438700E-03
2.036,2.855700E-03,2.658300E-03
2.039,3.010500E-03,2.836100E-03
2.043,3.107500E-03,2.963700E-03
2.046,3.132200E-03,3.035500E-03
2.049,3.092900E-03,3.048600E-03
2.052,3.008600E-03,3.003200E-03
2.055,2.865800E-03,2.902000E-03
2.057,2.687600E-03,2.750400E-03
2.060,2.493200E-03,2.555900E-03
2.063,2.277600E-03,2.327600E-03
2.066,2.061400E-03,2.076100E-03
2.069,1.822500E-03,1.812700E-03
2.072,1.587400E-03,1.548500E-03
2.076,1.359500E-03,1.294300E-03
2.079,1.146200E-03,1.059800E-03
2.082,9.672200E-04,8.531600E-04
2.085,8.113000E-04,6.810700E-04
2.088,6.976100E-04,5.481800E-04
2.091,6.286200E-04,4.571300E-04
2.093,5.956400E-04,4.085400E-04
2.096,5.941300E-04,4.010800E-04
2.099,6.265500E-04,4.316400E-04
2.102,6.966400E-04,4.956000E-04
2.105,7.850900E-04,5.871300E-04
2.109,8.881600E-04,6.995200E-04
2.112,9.912200E-04,8.254800E-04
2.115,1.107700E-03,9.575200E-04
2.118,1.214900E-03,1.088100E-03
2.121,1.297900E-03,1.210000E-03
2.124,1.388600E-03,1.316800E-03
2.126,1.434500E-03,1.403000E-03
2.129,1.469900E-03,1.464300E-03
2.132,1.474300E-03,1.498300E-03
2.135,1.461600E-03,1.503700E-03
2.138,1.425900E-03,1.480600E-03
2.141,1.354400E-03,1.430500E-03
2.145,1.279300E-03,1.355800E-03
2.148,1.179000E-03,1.260300E-03
2.151,1.062800E-03,1.148500E-03
2.154,9.415500E-04,1.025500E-03
2.157,8.211000E-04,8.968200E-04
2.159,6.994000E-04,7.680400E-04
2.162,5.970200E-04,6.444500E-04
2.165,5.080300E-04,5.309500E-04
2.168,4.422200E-04,4.318800E-04
2.171,3.859200E-04,3.507400E-04
2.174,3.453600E-04,2.901000E-04
2.178,3.242400E-04,2.514700E-04
2.181,3.239700E-04,2.352300E-04
2.184,3.453600E-04,2.407700E-04
2.187,3.770900E-04,2.664600E-04
2.190,4.256600E-04,3.098000E-04
2.193,4.848500E-04,3.675400E-04
2.195,5.483200E-04,4.358900E-04
2.198,6.184100E-04,5.106900E-04
2.201,6.780200E-04,5.877300E-04
2.204,7.296200E-04,6.628800E-04
2.207,7.733600E-04,7.322300E-04
2.211,8.079900E-04,7.923000E-04
2.214,8.238600E-04,8.400700E-04
2.217,8.227500E-04,8.732400E-04
2.220,8.136500E-04,8.902300E-04
2.223,7.988800E-04,8.903200E-04
2.226,7.657700E-04,8.736300E-04
2.228,7.216200E-04,8.411200E-04
2.231,6.740200E-04,7.945000E-04
2.234,6.196500E-04,7.361000E-04
2.237,5.582500E-04,6.687200E-04
2.240,4.934000E-04,5.954800E-04
2.243,4.342100E-04,5.197000E-04
2.247,3.737800E-04,4.447200E-04
2.250,3.236900E-04,3.737400E-04
2.253,2.752600E-04,3.097000E-04
2.256,2.399400E-04,2.550800E-04
2.259,2.145500E-04,2.118300E-04
2.261,2.015800E-04,1.813200E-04
2.264,2.017200E-04,1.643300E-04
2.267,2.141400E-04,1.610100E-04
2.270,2.311100E-04,1.708200E-04
2.273,2.634000E-04,1.926600E-04
2.276,2.974800E-04,2.248500E-04
2.280,3.390100E-04,2.652900E-04
2.283,3.809500E-04,3.115400E-04
2.286,4.216600E-04,3.609600E-04
2.289,4.604300E-04,4.108600E-04
2.292,4.837500E-04,4.586200E-04
2.295,5.081700E-04,5.018100E-04
2.297,5.183800E-04,5.382700E-04
2.300,5.190700E-04,5.661800E-04
2.303,5.096900E-04,5.842100E-04
2.306,4.979600E-04,5.915000E-04
2.309,4.891300E-04,5.877600E-04
2.313,4.619500E-04,5.732500E-04
2.316,4.299400E-04,5.487600E-04
2.319,3.966800E-04,5.155400E-04
2.322,3.577700E-04,4.752900E-04
2.325,3.169300E-04,4.299800E-04
2.328,2.698800E-04,3.817500E-04
2.330,2.338700E-04,3.327500E-04
2.333,2.013100E-04,2.850300E-04
2.336,1.735700E-04,2.405600E-04
2.339,1.498400E-04,2.010900E-04
2.342,1.328700E-04,1.681900E-04
2.345,1.240400E-04,1.431300E-04
